user_id,item_id,interaction_strength
0,0,3
1,3,3
1,8,3
2,2,3
2,7,3
3,1,5
3,7,1
3,9,1
4,2,2
4,7,1
4,8,3
5,3,5
6,2,3
6,7,4
6,13,1
7,3,4
7,8,3
7,15,4
8,1,5
9,1,3
10,3,3
10,7,1
11,3,3
11,5,4
11,7,3
11,10,2
11,12,1
11,13,1
12,2,3
12,6,3
12,7,3
12,12,2
12,13,3
13,0,3
14,0,3
14,4,2
15,1,3
15,13,1
16,0,3
16,7,4
17,2,3
18,3,4
18,7,3
18,13,3
19,3,3
19,7,4
19,13,2
20,1,4
21,2,4
22,3,4
22,7,2
22,9,2
23,3,3
23,7,2
24,3,4
24,7,2
25,1,3
25,7,1
26,3,2
26,6,3
26,8,3
26,13,1
27,2,5
27,7,3
27,13,3
28,2,4
28,7,1
29,2,2
29,7,3
30,2,2
30,7,4
31,2,3
31,7,1
32,2,4
32,7,4
33,3,2
33,8,3
34,2,2
34,7,2
35,2,5
36,1,5
37,3,4
37,6,1
37,10,3
37,13,1
38,2,2
39,0,4
40,2,4
40,7,1
41,3,2
41,7,4
42,2,4
42,7,3
42,9,2
43,2,3
43,6,2
43,7,4
43,10,3
43,12,3
43,13,3
44,2,2
44,7,4
45,2,2
45,8,3
45,13,3
45,15,4
46,3,3
46,7,4
47,2,5
47,7,4
48,2,3
49,1,2
49,7,4
50,3,4
50,7,2
50,8,2
50,13,2
50,15,2
51,2,4
51,7,1
51,8,2
52,1,5
53,3,2
53,8,1
54,1,3
55,2,2
56,1,2
57,2,3
58,1,4
58,7,4
58,9,1
59,2,2
60,3,5
60,7,4
60,8,3
61,2,3
62,2,4
62,7,2
63,3,2
63,7,4
64,2,5
64,7,2
65,3,5
65,7,3
66,3,3
66,7,2
66,8,1
67,3,3
67,7,2
67,8,2
68,3,3
68,7,4
69,2,2
69,7,2
70,2,2
70,7,2
70,9,3
71,2,3
71,5,2
71,7,2
71,8,2
71,13,1
72,3,5
72,7,3
72,8,3
73,3,4
73,7,1
74,2,4
74,7,4
75,1,4
76,1,2
77,3,3
78,3,2
78,7,3
78,9,3
79,1,5
79,7,3
79,9,2
80,3,2
80,7,4
80,13,1
81,0,2
81,13,2
82,2,2
82,7,2
82,8,2
83,3,4
83,7,3
83,13,1
84,1,4
85,3,5
85,7,1
86,1,4
86,7,2
87,3,5
87,8,2
88,1,4
88,5,3
89,3,3
90,2,2
90,7,1
91,0,2
92,0,2
93,3,4
93,7,1
93,9,1
94,1,4
95,2,4
95,7,1
96,3,2
96,7,3
97,3,2
98,2,2
98,7,2
99,3,4
99,13,1
100,0,3
101,0,2
102,1,4
102,7,2
102,8,2
103,0,3
103,13,1
104,3,5
104,6,2
104,8,1
105,3,3
105,7,1
105,8,1
106,3,3
106,7,1
107,3,3
107,8,3
107,13,2
108,2,4
108,7,1
109,2,3
109,7,3
109,8,2
109,15,2
110,1,2
110,7,2
111,0,3
112,0,2
112,7,1
113,2,3
113,7,3
113,8,3
113,15,4
114,2,4
114,7,1
114,8,3
114,9,3
115,1,2
116,3,2
116,7,3
116,8,1
117,0,3
118,2,5
118,6,2
118,7,4
118,10,1
118,12,2
119,1,4
119,7,4
120,2,4
121,0,3
122,0,3
122,5,1
122,10,2
123,2,5
123,7,1
124,2,4
124,7,3
125,2,5
125,6,3
126,3,4
126,9,1
127,3,3
128,2,4
129,3,2
129,7,2
129,8,2
129,9,1
130,3,3
130,7,3
131,3,5
131,7,4
131,8,1
131,13,2
131,15,2
132,0,5
132,7,3
133,0,4
134,2,3
134,7,2
135,3,2
135,7,1
136,1,4
136,7,1
136,9,2
137,0,4
137,7,1
138,2,3
138,7,1
139,2,5
139,7,1
139,8,2
139,13,3
140,2,5
141,3,4
141,9,2
142,0,2
143,2,5
143,7,4
144,3,3
144,7,4
144,8,1
145,2,2
145,7,1
145,8,3
146,1,3
147,2,3
147,7,2
148,3,2
149,2,4
149,7,4
149,8,3
149,13,1
150,2,4
150,7,1
150,9,3
151,3,5
151,8,3
152,3,4
152,7,3
153,2,4
153,7,3
154,3,5
154,8,2
155,2,5
155,7,3
156,0,3
157,3,5
157,7,3
157,8,1
158,3,3
159,0,2
159,7,2
160,3,3
160,7,3
161,1,2
161,5,2
161,7,3
162,0,5
163,0,5
164,3,4
164,7,4
165,2,5
165,5,2
165,7,2
165,9,2
165,13,3
166,3,4
166,15,2
167,1,5
168,2,2
169,2,4
170,1,5
170,7,3
171,3,5
171,7,1
172,2,4
173,0,2
173,4,3
174,3,3
174,7,3
175,0,4
176,0,2
176,13,1
177,1,5
178,3,4
178,9,1
179,3,3
179,7,3
180,2,4
180,6,3
180,7,2
181,3,5
181,13,3
182,3,4
182,7,3
183,2,5
183,8,2
184,3,3
185,2,5
185,5,4
185,7,3
185,12,1
185,13,2
186,0,5
187,3,3
187,7,2
187,8,2
187,9,3
188,0,3
189,3,2
189,7,2
189,8,3
190,3,4
190,7,1
190,9,2
190,13,2
191,2,5
191,5,3
191,7,3
191,10,3
191,12,3
192,2,4
193,3,4
193,15,2
194,3,5
194,8,3
195,2,3
195,7,1
196,1,3
197,3,2
197,6,2
197,8,2
197,12,3
198,2,5
198,7,1
198,13,2
199,1,4
199,7,2
200,0,5
201,0,4
202,3,4
202,6,2
202,7,4
202,10,3
203,0,4
204,3,5
205,2,2
205,7,3
205,8,3
206,3,2
206,6,2
206,7,4
206,8,2
206,13,2
207,3,5
207,7,1
207,8,1
208,0,4
209,0,4
210,3,5
210,7,1
210,8,3
211,3,2
211,7,4
211,13,1
212,1,3
213,3,4
214,1,3
214,7,4
214,9,3
215,3,5
215,6,1
215,8,2
215,12,1
216,3,5
216,13,1
217,3,5
217,8,1
218,2,3
218,8,3
219,1,5
220,3,3
220,7,4
221,2,3
221,7,1
221,8,2
222,2,4
222,5,2
222,7,2
222,10,2
222,13,2
223,1,3
223,7,3
224,2,5
224,7,2
225,2,4
225,8,2
225,13,2
226,2,2
226,7,3
227,3,2
227,7,1
227,8,3
227,15,1
228,2,4
229,3,2
229,7,1
229,9,3
230,3,3
231,3,3
232,3,4
232,7,4
232,9,1
233,2,2
233,7,2
233,8,3
234,2,5
234,7,3
234,13,3
235,3,3
235,7,1
235,8,1
235,9,1
236,0,5
236,7,1
237,0,5
237,7,3
238,3,3
238,7,1
238,8,2
239,0,2
240,0,4
240,13,2
241,2,3
241,7,2
241,8,3
242,2,2
242,7,3
242,13,2
243,2,4
243,9,3
243,13,2
244,2,2
245,2,5
245,5,3
245,12,3
245,13,3
246,3,2
246,7,1
246,8,1
246,9,3
246,13,2
247,1,4
248,3,5
249,3,2
249,6,3
249,7,1
249,8,2
249,12,2
249,13,3
250,2,4
250,7,1
251,2,5
251,7,4
251,9,2
252,2,4
252,7,1
253,2,3
253,7,2
254,0,2
255,3,4
255,6,1
255,7,2
255,8,2
256,2,3
256,7,1
256,13,2
257,1,4
257,7,4
258,3,2
258,6,2
258,12,3
259,1,2
259,5,4
259,13,2
260,3,2
261,2,2
261,7,3
262,3,3
262,7,2
263,0,5
264,3,5
264,7,1
264,8,2
265,2,2
265,7,2
265,9,2
266,3,5
266,7,4
267,0,2
268,3,5
269,2,2
269,7,4
269,13,2
270,3,4
270,8,3
270,13,2
270,15,2
271,2,5
271,7,3
271,9,1
272,0,5
272,7,4
273,1,3
274,3,3
274,7,3
274,8,1
274,15,2
275,3,3
275,13,1
276,1,3
277,0,2
277,7,4
277,13,1
278,0,2
278,7,2
279,1,5
280,0,5
281,3,4
281,6,3
281,7,1
281,8,1
281,13,2
282,2,3
283,1,4
284,1,2
285,3,5
285,8,3
286,0,4
287,2,5
287,7,3
288,3,5
289,2,5
289,7,3
289,8,1
290,3,4
290,7,4
290,8,2
291,3,3
291,7,4
292,3,5
292,7,4
292,9,1
292,13,2
292,15,2
293,1,5
293,9,1
294,2,5
294,6,1
294,9,2
294,13,3
295,3,2
296,2,4
296,7,3
296,9,2
297,3,3
297,7,1
297,13,1
297,15,3
298,2,3
298,7,4
299,3,4
299,7,4
299,8,2
300,2,2
300,8,3
300,9,1
300,13,2
300,15,1
301,3,4
301,7,2
301,8,1
302,2,4
303,1,3
303,5,1
303,7,4
303,12,3
303,13,1
304,2,5
304,8,3
305,0,3
305,5,2
305,12,2
305,13,3
306,2,2
306,9,1
307,0,5
307,4,3
307,10,3
308,1,3
309,2,4
309,6,2
309,7,2
309,8,1
309,10,3
309,13,1
310,2,4
310,8,3
310,13,2
311,2,2
312,2,3
312,8,1
313,3,2
313,8,1
314,0,3
314,5,1
315,0,2
315,7,4
316,0,4
317,0,2
317,4,2
318,0,4
318,7,4
319,2,2
320,2,5
320,7,1
320,8,1
320,9,3
321,2,3
321,8,1
322,3,4
322,7,1
322,8,3
323,3,5
323,7,3
323,15,4
324,3,4
324,5,4
324,7,2
324,8,1
324,10,3
324,12,2
325,3,2
325,7,1
325,8,3
326,0,2
327,1,4
328,3,4
328,6,2
328,10,2
328,12,3
328,13,3
329,3,3
329,7,3
330,2,5
330,7,4
331,0,4
332,2,5
332,7,1
332,8,2
333,2,2
333,7,2
333,13,1
334,0,5
334,5,4
334,10,3
335,3,4
335,7,1
336,2,3
336,7,2
336,9,1
337,3,2
337,6,4
337,10,1
337,13,1
338,3,2
338,7,1
338,8,2
338,9,2
339,3,5
339,8,3
340,2,3
340,7,1
341,1,4
342,0,3
343,0,2
344,1,5
344,6,1
344,12,2
344,13,1
345,3,4
345,7,2
345,8,3
346,2,2
346,7,4
347,2,3
347,7,1
347,9,3
348,2,4
348,8,2
349,0,5
349,7,1
350,2,3
350,7,1
351,2,4
351,7,2
351,9,1
352,2,2
352,5,4
352,13,3
353,2,2
353,8,2
353,13,3
354,2,4
354,7,3
354,13,2
355,3,5
355,7,2
356,0,5
357,0,3
357,7,2
358,1,3
359,0,5
359,7,4
360,3,2
360,8,3
361,0,4
361,7,1
362,2,5
362,13,2
362,15,2
363,0,2
363,7,3
364,0,3
365,2,3
365,6,2
365,7,2
365,13,1
366,1,5
366,7,4
366,8,2
367,3,4
367,8,3
367,13,3
368,1,5
368,7,2
369,1,4
370,3,5
370,5,2
370,13,3
371,2,4
371,6,4
371,8,1
371,13,2
372,2,2
373,0,2
373,4,2
373,10,2
374,2,2
374,7,2
375,2,3
375,7,4
376,0,4
377,2,5
378,0,3
378,7,1
379,0,3
380,0,5
381,2,4
381,7,3
382,2,4
382,7,2
383,3,3
383,8,3
384,2,2
384,7,3
385,0,3
385,7,1
386,0,2
387,3,4
387,8,3
388,3,2
388,7,2
389,3,5
389,7,4
389,8,2
390,2,3
390,7,4
391,3,2
391,6,1
391,9,3
391,10,2
392,3,2
392,7,2
392,8,1
392,13,3
393,0,5
394,2,4
394,7,1
394,8,2
394,9,1
395,2,4
395,7,4
396,0,4
396,7,1
397,3,3
397,7,3
397,8,1
398,3,3
